source,#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
,#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
Hood,23.0,"Akers, Josh 23 Akers, Josh",3.0,0.0,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
Hood,1.0,"Dyson, James 01 Dyson, James",3.0,0.0,5,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,1,0,0,View Bio
Hood,,Total,27.0,,5425,200.9,737,1661,0.444,346,916,0.378,383,534,0.717,2203,81.59,277,616,893,33.1,508,421,335,241,35,
Hood,,Opponents,,,5425,200.9,690,1609,0.429,271,768,0.353,358,521,0.687,2009,74.41,345,664,1009,37.4,478,407,441,158,101,
Immaculata,3.0,"McCullough, Brandon 03 McCullough, Brandon",16.0,16.0,494,30.9,91,209,0.435,46,109,0.422,35,51,0.686,263,16.4,8,41,49,3.1,23,51,34,16,1,View Bio
Immaculata,21.0,"Tillery, Tyler 21 Tillery, Tyler",23.0,22.0,665,28.9,93,201,0.463,9,16,0.563,63,87,0.724,258,11.2,31,121,152,6.6,53,32,39,11,40,View Bio
Immaculata,35.0,"Vlassopoulos, Gregory 35 Vlassopoulos, Gregory",27.0,27.0,746,27.6,95,212,0.448,40,109,0.367,54,82,0.659,284,10.5,33,91,124,4.6,61,51,46,34,5,View Bio
Immaculata,4.0,"Kitchen, Asa 04 Kitchen, Asa",27.0,13.0,674,25.0,95,242,0.393,30,93,0.323,52,72,0.722,272,10.1,15,78,93,3.4,48,61,61,35,0,View Bio
Immaculata,22.0,"Farmer, Keith 22 Farmer, Keith",24.0,24.0,662,27.6,86,191,0.45,9,41,0.22,44,67,0.657,225,9.4,31,122,153,6.4,59,44,66,24,23,View Bio
Immaculata,33.0,"Crews, Dylan 33 Crews, Dylan",21.0,9.0,423,20.1,47,114,0.412,24,57,0.421,36,55,0.655,154,7.3,11,33,44,2.1,54,32,50,19,2,View Bio
Immaculata,30.0,"Schultice, Tim 30 Schultice, Tim",27.0,4.0,461,17.1,55,130,0.423,14,46,0.304,30,39,0.769,154,5.7,37,58,95,3.5,65,25,30,16,6,View Bio
Immaculata,20.0,"Dao, Steven 20 Dao, Steven",25.0,15.0,486,19.4,52,123,0.423,5,13,0.385,28,55,0.509,137,5.5,41,73,114,4.6,51,13,44,20,5,View Bio
Immaculata,25.0,"Steinbrenner, Julian 25 Steinbrenner, Julian",20.0,2.0,193,9.7,16,43,0.372,8,21,0.381,10,15,0.667,50,2.5,13,26,39,2.0,25,9,17,13,1,View Bio
Immaculata,5.0,"Perez, Brandon 05 Perez, Brandon",20.0,0.0,168,8.4,14,46,0.304,3,21,0.143,10,17,0.588,41,2.1,3,15,18,0.9,6,14,29,3,1,View Bio
Immaculata,24.0,"Allen, Andre 24 Allen, Andre",21.0,1.0,200,9.5,13,51,0.255,6,31,0.194,4,5,0.8,36,1.7,5,16,21,1.0,24,13,16,6,3,View Bio
Immaculata,11.0,"Preston, Murad 11 Preston, Murad",15.0,1.0,80,5.3,10,28,0.357,1,9,0.111,3,5,0.6,24,1.6,4,5,9,0.6,7,3,7,3,0,View Bio
Immaculata,15.0,"Hairston, Jamal 15 Hairston, Jamal",4.0,0.0,12,3.0,2,5,0.4,2,5,0.4,0,0,0.0,6,1.5,0,1,1,0.3,1,2,0,0,0,View Bio
Immaculata,14.0,"Harkins, Sage 14 Harkins, Sage",2.0,0.0,4,2.0,1,2,0.5,1,1,1.0,0,0,0.0,3,1.5,0,2,2,1.0,3,0,0,0,0,View Bio
Immaculata,10.0,"Aiken, Jaheim 10 Aiken, Jaheim",4.0,0.0,16,4.0,2,7,0.286,0,4,0.0,0,0,0.0,4,1.0,2,1,3,0.8,3,0,2,0,0,View Bio
Immaculata,33.0,"Johnson, Fred 33 Johnson, Fred",5.0,1.0,12,2.4,1,3,0.333,0,0,0.0,0,0,0.0,2,0.4,0,0,0,0.0,2,0,1,1,0,View Bio
Immaculata,32.0,"Cade, David 32 Cade, David",11.0,0.0,71,6.5,1,7,0.143,0,0,0.0,0,0,0.0,2,0.2,3,9,12,1.1,8,1,4,0,1,View Bio
Immaculata,23.0,"Murphy, Dez 23 Murphy, Dez",12.0,0.0,49,4.1,0,12,0.0,0,8,0.0,1,4,0.25,1,0.1,4,4,8,0.7,4,4,3,0,1,View Bio
Immaculata,12.0,"Flood, John 12 Flood, John",2.0,0.0,9,4.5,0,3,0.0,0,1,0.0,0,2,0.0,0,0.0,1,2,3,1.5,2,0,2,1,0,View Bio
Immaculata,,Total,27.0,,5425,200.9,674,1629,0.414,198,585,0.338,370,556,0.665,1916,70.96,286,752,1038,38.4,499,355,458,202,89,
Immaculata,,Opponents,,,5425,200.9,733,1686,0.435,185,554,0.334,385,531,0.725,2036,75.41,282,770,1052,39.0,481,397,414,229,84,
Lebanon Valley,30.0,"Jones, Collin 30 Jones, Collin",23.0,23.0,796,34.6,187,354,0.528,15,53,0.283,105,143,0.734,494,21.5,48,154,202,8.8,55,23,72,27,8,View Bio
Lebanon Valley,23.0,"Timochenko, Evin 23 Timochenko, Evin",21.0,19.0,600,28.6,110,198,0.556,2,5,0.4,45,64,0.703,267,12.7,46,121,167,8.0,44,29,42,11,6,View Bio
Lebanon Valley,5.0,"Tucker, Zach 05 Tucker, Zach",25.0,25.0,895,35.8,105,287,0.366,38,109,0.349,56,72,0.778,304,12.2,24,105,129,5.2,48,96,62,22,1,View Bio
Lebanon Valley,3.0,"Lewis, Payton 03 Lewis, Payton",21.0,3.0,378,18.0,52,123,0.423,25,60,0.417,23,32,0.719,152,7.2,5,30,35,1.7,34,22,42,11,1,View Bio
Lebanon Valley,15.0,"Garcia, Luis 15 Garcia, Luis",21.0,18.0,522,24.9,39,113,0.345,12,40,0.3,27,38,0.711,117,5.6,9,49,58,2.8,46,63,61,24,1,View Bio
Lebanon Valley,10.0,"Reichner, Jaylen 10 Reichner, Jaylen",25.0,25.0,523,20.9,32,70,0.457,17,44,0.386,9,10,0.9,90,3.6,9,32,41,1.6,25,38,31,11,1,View Bio
Lebanon Valley,12.0,"Griffin, Jevon 12 Griffin, Jevon",21.0,1.0,227,10.8,24,57,0.421,14,41,0.341,11,12,0.917,73,3.5,5,15,20,1.0,32,8,10,6,1,View Bio
Lebanon Valley,1.0,"Harder, Ryan 01 Harder, Ryan",23.0,7.0,368,16.0,28,71,0.394,10,29,0.345,8,12,0.667,74,3.2,20,40,60,2.6,35,9,14,6,4,View Bio
Lebanon Valley,32.0,"Suchy, Charlie  32 Suchy, Charlie",2.0,0.0,5,2.5,2,2,1.0,1,1,1.0,0,0,0.0,5,2.5,0,1,1,0.5,1,0,0,0,0,View Bio
Lebanon Valley,14.0,"Catanzaro, AJ 14 Catanzaro, AJ",24.0,1.0,275,11.5,20,41,0.488,6,14,0.429,6,12,0.5,52,2.2,13,25,38,1.6,23,16,15,7,4,View Bio
Lebanon Valley,40.0,"Bohannon, Braden 40 Bohannon, Braden",17.0,2.0,169,9.9,12,38,0.316,3,14,0.214,5,5,1.0,32,1.9,2,14,16,0.9,16,4,11,6,0,View Bio
Lebanon Valley,0.0,"Montgomery, Jacob 00 Montgomery, Jacob",3.0,0.0,13,4.3,1,2,0.5,1,2,0.5,2,2,1.0,5,1.7,0,1,1,0.3,0,0,4,0,0,View Bio
Lebanon Valley,11.0,"Smith, Evan 11 Smith, Evan",16.0,0.0,103,6.4,8,33,0.242,6,23,0.261,3,4,0.75,25,1.6,5,9,14,0.9,8,9,4,4,0,View Bio
Lebanon Valley,2.0,"Singer, Alec 02 Singer, Alec",10.0,1.0,52,5.2,3,6,0.5,0,0,0.0,0,2,0.0,6,0.6,3,3,6,0.6,4,6,5,1,1,View Bio
Lebanon Valley,20.0,"Fritz, Tyler 20 Fritz, Tyler",5.0,0.0,19,3.8,1,2,0.5,1,2,0.5,0,0,0.0,3,0.6,0,0,0,0.0,2,1,1,0,0,View Bio
